signal_date,entry_date,exit_date,return,exit_reason,capital_after,window,qqq_ma_window
2024-07-19,2024-07-22,2024-07-24,-0.12087999999999999,stop,12361.321476031602,Older only,50
2024-10-31,2024-11-01,2024-11-07,0.17750567337330847,time_exit,14555.526168418532,Older only,50
2024-11-15,2024-11-18,2024-11-22,0.06490920459325333,time_exit,15500.313794446864,Older only,50
2024-12-19,2024-12-20,2024-12-26,0.19879999999999987,target,18581.7761767829,Older only,50
2025-07-31,2025-08-01,2025-08-07,0.058102214747207226,time_exit,19661.418526590878,Older only,50
2021-07-16,2021-07-19,2021-07-23,0.1777047993783485,time_exit,11777.047993783484,Older only,100
2021-08-18,2021-08-19,2021-08-25,0.1705221696965895,time_exit,13785.29577030431,Older only,100
2021-09-20,2021-09-21,2021-09-27,0.08071555531811958,time_exit,14897.983573628948,Older only,100
2021-09-28,2021-09-29,2021-10-04,-0.1208800000000001,stop,13097.11531924868,Older only,100
2021-12-16,2021-12-17,2021-12-23,0.17355589695900497,time_exit,15370.19691605641,Older only,100
2022-08-22,2022-08-23,2022-08-29,-0.1208800000000001,stop,13512.247512843509,Older only,100
2023-04-25,2023-04-26,2023-05-02,0.05149252952442196,time_exit,14208.0273168399,Older only,100
2023-08-09,2023-08-10,2023-08-14,-0.12087999999999999,stop,12490.560974780294,Older only,100
2023-08-16,2023-08-17,2023-08-23,0.09383324372423951,time_exit,13662.590826979327,Older only,100
2023-09-20,2023-09-21,2023-09-27,-0.0064933408391484315,time_exit,13573.874967993928,Older only,100
2024-04-15,2024-04-16,2024-04-18,-0.1208800000000001,stop,11933.064961862821,Older only,100
2024-07-19,2024-07-22,2024-07-24,-0.12087999999999999,stop,10490.596069272844,Older only,100
2024-10-31,2024-11-01,2024-11-07,0.17750567337330847,time_exit,12352.736388636504,Older only,100
2024-11-15,2024-11-18,2024-11-22,0.06490920459325333,time_exit,13154.542682173036,Older only,100
2024-12-19,2024-12-20,2024-12-26,0.19879999999999987,target,15769.665767389033,Older only,100
2025-01-27,2025-01-28,2025-02-03,0.004671043191625257,time_exit,15843.326557306002,Older only,100
2025-07-31,2025-08-01,2025-08-07,0.058102214747207226,time_exit,16763.858919248727,Older only,100
2025-11-17,2025-11-18,2025-11-20,-0.12087999999999999,stop,14737.443653089942,Older only,100
2021-12-16,2021-12-17,2021-12-23,0.17355589695900497,time_exit,11735.558969590049,Older only,200
2022-01-18,2022-01-19,2022-01-20,-0.1208800000000001,stop,10316.964601346002,Older only,200
2023-04-25,2023-04-26,2023-05-02,0.05149252952442196,time_exit,10848.211205683228,Older only,200
2023-08-09,2023-08-10,2023-08-14,-0.12087999999999999,stop,9536.87943514024,Older only,200
2023-08-16,2023-08-17,2023-08-23,0.09383324372423951,time_exit,10431.755767546441,Older only,200
2023-09-20,2023-09-21,2023-09-27,-0.0064933408391484315,time_exit,10364.01882179701,Older only,200
2023-10-20,2023-10-23,2023-10-27,-0.0782980032123517,time_exit,9552.536842795074,Older only,200
2024-04-15,2024-04-16,2024-04-18,-0.1208800000000001,stop,8397.826189238005,Older only,200
2024-07-19,2024-07-22,2024-07-24,-0.12087999999999999,stop,7382.696959482915,Older only,200
2024-08-02,2024-08-05,2024-08-05,0.19879999999999987,target,8850.377115028117,Older only,200
2024-09-06,2024-09-09,2024-09-12,0.19879999999999987,target,10609.832085495706,Older only,200
2024-10-31,2024-11-01,2024-11-07,0.17750567337330847,time_exit,12493.137474209354,Older only,200
2024-11-15,2024-11-18,2024-11-22,0.06490920459325333,time_exit,13304.057090534448,Older only,200
2024-12-19,2024-12-20,2024-12-26,0.19879999999999987,target,15948.903640132696,Older only,200
2025-01-27,2025-01-28,2025-02-03,0.004671043191625257,time_exit,16023.401657894825,Older only,200
2025-02-27,2025-02-28,2025-03-04,-0.12087999999999999,stop,14086.492865488499,Older only,200
2025-07-31,2025-08-01,2025-08-07,0.058102214747207226,time_exit,14904.949298994114,Older only,200
2025-11-17,2025-11-18,2025-11-20,-0.12087999999999999,stop,13103.239027731704,Older only,200
2026-03-03,2026-03-04,2026-03-06,-0.12087999999999999,stop,11519.319494059497,Older only,200
