Date,25pct_allocation,50pct_allocation,75pct_allocation,100pct_allocation,1pct_account_risk,2pct_account_risk
2021-01-04,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-01-05,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-01-06,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-01-07,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-01-08,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-01-11,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-01-12,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-01-13,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-01-14,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-01-15,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-01-19,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-01-20,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-01-21,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-01-22,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-01-25,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-01-26,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-01-27,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-01-28,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-01-29,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-02-01,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-02-02,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-02-03,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-02-04,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-02-05,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-02-08,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-02-09,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-02-10,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-02-11,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-02-12,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-02-16,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-02-17,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-02-18,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-02-19,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-02-22,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-02-23,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-02-24,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-02-25,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-02-26,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-03-01,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-03-02,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-03-03,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-03-04,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-03-05,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-03-08,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-03-09,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-03-10,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-03-11,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-03-12,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-03-15,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-03-16,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-03-17,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-03-18,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-03-19,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-03-22,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-03-23,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-03-24,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-03-25,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-03-26,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-03-29,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
